Library,pathway,ES,NES,NOM p-val,FDR q-val,Lead_genes
GO-BP,Positive Regulation Of Isotype Switching (GO:0045830),0.29155453214087046,0.7679183741931628,0.7951002227171492,0.9254781561414698,TGFB1;TFRC
GO-BP,Positive Regulation Of Regulatory T Cell Differentiation (GO:0045591),0.2723978496712098,0.7700458808005259,0.7863247863247863,0.9255311231311416,LILRB2;FOXP3;BCL6;KLHL25;CR1;KAT5;CD46;DUSP10
GO-BP,Regulation Of Oxidative Stress-Induced Intrinsic Apoptotic Signaling Pathway (GO:1902175),0.2765696272701262,0.7687367791808042,0.7683982683982684,0.9255701125129748,HSPB1;SFPQ
GO-BP,Multivesicular Body Assembly (GO:0036258),0.23101209344776175,0.7682047177837369,0.828978622327791,0.925678631250771,CHMP7;VPS4B;MVB12A;STAM2;CHMP6;SNF8;CHMP2B;VTA1;CHMP1B;PDCD6IP;CHMP5;VPS4A
GO-BP,Actin Filament-Based Transport (GO:0099515),0.2570904242821265,0.767109886076786,0.7991360691144709,0.9260207374319209,SYNE2;MYO1B;MYO1F;MYO19;MYO1A;MYO1C;MYO7A
GO-BP,Post-Translational Protein Targeting To Endoplasmic Reticulum Membrane (GO:0006620),0.28026221879289476,0.7688388795423335,0.7747747747747747,0.9260433414402871,SGTA;SEC62;HYOU1;SGTB;SEC63
GO-BP,Regulation Of Cellular Metabolic Process (GO:0031323),0.21494427981840566,0.7666383340987373,0.8157894736842105,0.9260445303390089,HIF1A;PDK3;PRKAG2;MBOAT7;COQ7;PGAM1;SLC2A6;RSL1D1;PPARA
GO-BP,Regulation Of Cell Migration Involved In Sprouting Angiogenesis (GO:0090049),-0.33712129254023315,-1.0289519202017057,0.42710120068610635,0.9261257650587872,NOTCH1;MMRN2;THBS1
Reactome,Insulin Processing R-HSA-264876,0.26006974063028565,0.811352705486482,0.7297297297297297,0.9263506994663839,RAB27A;ERO1A;SLC30A6;SLC30A8;EXOC1
GO-BP,Negative Regulation Of Telomere Maintenance Via Telomere Lengthening (GO:1904357),0.23148166578256812,0.7688855070304381,0.8397291196388262,0.9266190175105861,STON1;HNRNPU;ERCC4;GNL3L;EXOSC10;TERF2;PINX1;TENM1;TERF1;SRC;TENT4B
GO-BP,Cellular Response To Steroid Hormone Stimulus (GO:0071383),-0.34922870002958417,-1.0283169318091778,0.41843971631205673,0.9267988918223812,HSPA1A;HSPA1B;TFPI
Reactome,Mitochondrial Biogenesis R-HSA-1592230,0.1927916437033496,0.8096736800716088,0.8759894459102903,0.9277252524710365,PPARGC1A;APOO;DNAJC11;PRKAG2;ATP5F1B;ACSS2;HSPA9;CRTC3;ALAS1;SMARCD3;CALM1;TWNK;CHCHD3;PPARA;MTX1;ATP5F1A;CYCS;GLUD1;MTX2;PPARGC1B;ATP5MC3
GO-BP,tRNA Methylation (GO:0030488),0.2088014999043572,0.7642933169534957,0.8800904977375565,0.9287073808863875,METTL2B;WDR4;TRMT61B;TRMT1;TRMT10B;TRMT6;BCDIN3D;NSUN2;TRMT10C
Reactome,Frs2-mediated Activation R-HSA-170968,0.3274076366783286,0.8080586379320477,0.7086956521739131,0.9288107147873589,YWHAB
GO-BP,Glial Cell Development (GO:0021782),-0.3602055758866669,-1.0269362802534483,0.4444444444444444,0.9296610669834281,MXRA8;EIF2B2;NF1;MDK;MYRF
KEGG,Arginine biosynthesis,-0.35891275174784765,-0.969374817195437,0.5026548672566372,0.9301678179509901,NAGS;CPS1;ACY1
GO-BP,Positive Regulation Of Telomere Maintenance In Response To DNA Damage (GO:1904507),0.27912646124646767,0.7626589926581369,0.7742663656884876,0.9303790999846797,INO80C;ACTR5;INO80B;RUVBL1;INO80E;INO80;ACTR8
GO-BP,Regulation Of Ras Protein Signal Transduction (GO:0046578),-0.2680676887408215,-1.0260938869162346,0.42012779552715657,0.9308108803115149,STARD8;IGF1;RASAL3;NOTCH1;CADM4;EPS8L3
GO-BP,Positive Regulation Of DNA Methylation-Dependent Heterochromatin Formation (GO:0090309),-0.41711172215766956,-1.0249251592790085,0.45340501792114696,0.9316500327319177,SETDB1;RESF1
GO-BP,Regulation Of Pathway-Restricted SMAD Protein Phosphorylation (GO:0060393),-0.30562766150091114,-1.0253009327189622,0.39723661485319517,0.9318974475829511,CSNK2B;TGFB3;DAB2;EMILIN1;LDLRAD4;PMEPA1;INHBA;GDF11;SMAD4;BMP6;BMP10
GO-BP,Protein Localization To Cell-Cell Junction (GO:0150105),0.276527133975054,0.7610984394697375,0.776824034334764,0.931919926025104,TJP3;ACTG1;JAK1;F11R;CHAF1B;SCRIB
Reactome,Extra-nuclear Estrogen Signaling R-HSA-9009391,0.20156712129404286,0.804470869816504,0.821917808219178,0.9319826941713115,IGF1R;MMP9;FOS;XPO1;KCNH8;HSP90AA1;HBEGF;CALM1;GNAI2;GNG2;PIK3R2;NRAS;ZDHHC7
GO-BP,"Nuclear-Transcribed mRNA Catabolic Process, Deadenylation-Dependent Decay (GO:0000288)",-0.3032189174028535,-1.0216351320035613,0.4244482173174873,0.9320065996795471,TNKS1BP1;PAN2;CNOT6L;RC3H2;PDE12;DCP2;TUT4;SAMD4A;DCP1B;RC3H1;SAMD4B;CNOT6;CNOT8;CNOT2
Reactome,Regulation Of TP53 Activity Thru Acetylation R-HSA-6804758,0.24026117003369402,0.8023815623946008,0.7883720930232558,0.9322240450709116,RBBP7;BRPF3;GATAD2A;PIP4K2A;TP53;ING3;PIP4K2C;CHD4
GO-BP,Negative Regulation Of Fat Cell Differentiation (GO:0045599),-0.33373327132331676,-1.020989548247818,0.4432624113475177,0.9325543353590297,FERMT2;RORA;ASXL1;LRP3;TNF;YAP1;WWTR1
GO-BP,Phosphatidylinositol Biosynthetic Process (GO:0006661),-0.25636339589692336,-1.0223641660781526,0.42105263157894735,0.9325809272207123,PGAP2;ITPKC;SOCS6;SOCS7;PIP5K1A;PLCG2;PI4KB;MTMR1;SOCS3;PIK3R3;PI4KA;SYNJ1;PIK3CG;DPM1;PIGQ;SOCS2;DPM3;SOCS5;IP6K2;SMG1;IP6K1;FGF2;PIKFYVE;INPPL1;PIK3C2A;SACM1L;PIGB;PIGO;PTEN;PIGL
Reactome,Transmission Across Chemical Synapses R-HSA-112315,-0.2192217685211748,-0.944871173085908,0.5877862595419847,0.9326762680096767,CHRFAM7A;COMT;SLC38A1;PPFIA4;SH2D3C;APBA1;MPP3;RASGRF2;GNG11;RAB3A;PPM1E;ABAT;PRKACB;CAMK2B;ADCY8;HRAS;SLC22A1;GNG10;SLC18A2;ARHGEF9;CHRNG;GRIP2;CHRNA3;SLC6A12;GNG5;ADCY7;GABRA3;PDPK1;PRKAR1B;KPNA2;AP2S1;PRKAG1;CHRNB2;CACNB1
Reactome,Growth Hormone Receptor Signaling R-HSA-982772,0.2639993029901385,0.803015499667928,0.7250554323725056,0.9328286178793848,IRS2;PTPN1;STAT5B;STAT3;SH2B1;ADAM17;STAT1;CISH;GHR;LYN
GO-BP,Synaptic Vesicle Recycling (GO:0036465),-0.31256101020898797,-1.0231984051184553,0.43214285714285716,0.932846012885206,DNM1;FCHO2;RAB3A;CDK5;NLGN4Y;DNM3;SYNJ1;STON2;AP2S1
GO-BP,L-alpha-amino Acid Transmembrane Transport (GO:1902475),-0.31974637745309586,-1.0204423646240508,0.43447037701974867,0.9329291789747121,SLC38A1;SLC38A9;SLC66A1;SLC7A7;SLC6A9;SLC7A6
GO-BP,Regulation Of Endopeptidase Activity (GO:0052548),-0.2927709824763417,-1.0227053922768714,0.41765704584040747,0.9329298764728209,SERPING1;PSENEN;SERPINI1;SERPINH1;SPOCK1;SERPINF1;CRB2;SERPINE2;FURIN
Reactome,Antigen Processing: Ubiquitination And Proteasome Degradation R-HSA-983168,0.15848596577157995,0.8048215141724462,0.9665551839464883,0.9330035495855947,UBA1;PJA1;KLHL5;SKP2;PSMD13;FBXL13;LONRF1;RNF144B;KLHL42;UBE2A;TRIM21;FBXL20;PSMD2;UBA7;RNF19B;ASB11;PSMD14;ASB1;PSMD10;PSMD6;FBXO21;PSMF1;KCTD6;KLHL2;HECTD3;UBE2M;KLHL11;THOP1;RNF7;UBE2V2;ASB6;ASB16;ANAPC10;ANAPC7;PSMD7;KLHL25;UBA5;RBBP6;DTX3L;FBXL4;PSMA1;FBXW9;UBE2B;SPSB2;ASB18;CUL2;UBE2J1;PSMD11;UFL1;KLHL3;VHL;BTBD1;NEDD4L;TRIM11;FBXO41;UBE2F;ASB8;RNF126;BLMH;CDC27;PSME1;UBE2G2;PSMA4;UBE2O;RNF123;CDC20;PRKN;UBE3C;UBOX5;FBXO9;FBXO32;UBE2C;UBC;PSMD12;FBXO27;UBE2D1;UBE3B;FBXL12
Reactome,Biosynthesis Of N-glycan Precursor (Dolichol LLO) And Transfer To Protein R-HSA-446193,0.1935376988117403,0.8009198523923846,0.850253807106599,0.9330665227926823,MVD;ALG6;SLC17A5;PMM1;GNE;ST6GALNAC4;ST6GAL1;ST3GAL2;NUS1;PMM2;SLC35C1;DPM2;ALG9;ALG13;ST8SIA1
GO-BP,GPI Anchor Metabolic Process (GO:0006505),-0.3307249228654727,-1.0217104470270173,0.41532976827094475,0.9332273957104893,PGAP2;PGAP1;DPM1;PIGQ;DPM3;PIGB;PIGO;PIGL;PIGP;PIGV;PIGA;PIGM;PIGH
GO-BP,tRNA 5'-Leader Removal (GO:0001682),0.28672906031367573,0.7587696448442066,0.775175644028103,0.9332913723627064,RPP25L;RPP38;POP4;RPP40;RPP25
