Library,pathway,ES,NES,NOM p-val,FDR q-val,Lead_genes
Hallmark,Epithelial Mesenchymal Transition,-0.5869784379948096,-2.58437356222093,0.0,0.0,LOXL1;PLOD2;HTRA1;COL1A1;LAMC1;COL3A1;MEST;COL1A2;COL4A1;COL5A2;LUM;FZD8;LOX;FSTL1;CALD1;COL11A1;COL4A2;PDLIM4;MYL9;COL12A1;FBLN1;MXRA5;FERMT2;CTHRC1;POSTN;MATN2;COMP;GPX7;BGN;DPYSL3;THBS2;GJA1;COL5A1;TNC;THBS1;TPM2;FMOD;PDGFRB;ELN;RGS4;DAB2;SNAI2;ECM1;FBLN2;THY1;ADAM12;PFN2;IGFBP3;DST;LAMA2;IGFBP4;CXCL12;MYLK;EFEMP2;SERPINH1;NNMT;SPARC;CDH11;DCN;SPOCK1;SLIT2;BMP1;PCOLCE;COL6A3;MGP;FBN2;TAGLN;ITGB5;SFRP1;LOXL2;FN1;FSTL3;CCN2;NID2;LGALS1;ITGA2;COL16A1;EDIL3;TFPI2;PMEPA1;INHBA;FAP;EMP3;SERPINE2;VCAN;PMP22;GEM;COL7A1;LRRC15;CDH2;GADD45B;SLC6A8;COL6A2;CCN1
GO-BP,Collagen Fibril Organization (GO:0030199),-0.7682800658624314,-2.5025362984981214,0.0,0.0,LOXL1;COL1A1;COL3A1;COL1A2;COL5A2;LUM;LOX;COL11A1;COL12A1;COL5A1;COL27A1;CYP1B1;SERPINH1;DDR2;PXDN;BMP1;NF1;LOXL2
GO-BP,Macromolecule Biosynthetic Process (GO:0009059),-0.5577327800166545,-2.4303280167838577,0.0,0.0,RPS4Y1;RPS19;RPL18A;RPLP1;RPL28;RPS26;RPSA;RPL27A;RPL13;RPL21;RPS11;GAL3ST4;GCNT1;RPS14;RPS5;RPL17;RPL10;MRPL35;RPS13;RPL41;RPS10;COL5A1;RPS17;RPL6;RPL8;RPL4;RPS20;RPL35;RPL3;RPL35A;RPL39;RPL13A;RPS29;RPS25;RPS3A;EEF1A1;RPL10A;EEF1G;RPL15;RPL7;RPL32;RPS7;RPS2;RPL24;RPL34;RPL37;RPS27A;RPL37A;RPL12;RPS16;RPS21;RPL30;RPL26;RPL23A;RPS8;RPS23;RPL27;RPS18;RPL36;RPLP2;RPS27;RPS24;RPL18;RPL5;RPLP0;RPS6;RPS15A;EXT1;RPL29;RPL14;RPL19;INHBA;RPS28;RPL38
GO-BP,Sterol Biosynthetic Process (GO:0016126),0.7243413741929005,2.4193798618932076,0.0,0.0,CH25H;INSIG1;CYP51A1;MVD;G6PD;HSD17B7;DHCR24;ACLY;HMGCR;HMGCS1;LSS;MSMO1;LBR;PRKAG2;SQLE;FDFT1;CES1
GO-BP,Cholesterol Biosynthetic Process (GO:0006695),0.7241337027890968,2.3494774830502223,0.0,0.0,INSIG1;CYP51A1;MVD;G6PD;HSD17B7;DHCR24;ACLY;HMGCR;HMGCS1;LSS;MSMO1;LBR;FDFT1;SC5D;CES1
Reactome,Peptide Chain Elongation R-HSA-156902,-0.7639085176580896,-3.019893932126314,0.0,0.0,RPS4Y1;RPS19;RPL18A;RPS12;RPL23;RPLP1;RPL28;RPSA;RPL27A;RPL21;RPS11;RPS14;RPS5;RPS13;RPL41;RPS10;RPS17;RPL6;RPL8;RPL4;RPL36A;RPS20;RPL35;RPL3;RPL35A;RPL39;RPL13A;RPS29;RPS25;RPS3A;EEF1A1;RPL10A;RPL15;RPL7;RPL32;RPS7;RPS2;RPL34;RPL37;RPS27A;RPL37A;RPL12;RPS16;RPS21;RPL30;RPL26;RPL23A;RPS8;RPS23;RPL27;UBA52;RPL36;RPLP2;RPS27;RPS24;RPL18;RPL5;RPLP0;RPS6;RPS15A;RPL29;RPL14;RPL19;RPS28;RPL38;RPL22L1;RPL31;RPL7A
KEGG,Pentose phosphate pathway,0.6964912888987184,2.2075919912641444,0.0,0.0,TKT;TALDO1;PGM2;PRPS2;PRPS1;G6PD;PGD;ALDOA;H6PD;GPI;PFKP
KEGG,Coronavirus disease,-0.5556881502406967,-2.4848129993273456,0.0,0.0,RPS4Y1;RPS19;RPL18A;RPS12;RPL23;RPLP1;RPL28;RPS26;EGFR;RPS10-NUDT3;F13A1;RPSA;RPL27A;TLR4;RPL13;RPL21;RPS11;RPS14;RPS5;RPL17;RPL10;RPS13;RPL41;CFD;RPS10;C1QB;RPS17;RPL6;RPL8;RPL4;RPL36A;C2;RPS20;RPL35;RPL3;C3;RPL35A;RPL39;MAPK12;RPL13A;RPS29;RPS25;C1S;RPS3A;RPL10A;RPL15;RPL7;IL6ST;RPL32;RPS7;RPS2;RPL24;RPL34;RPL37;PLCG2;RPS27A;RPL37A;RPL12;RPS16;RPS21;RPL30;CGAS;RPL26;RPL23A;RPS8;RPS23;RPL27;UBA52;RPS18;RPL36;PIK3R3;RPLP2;RPS27;RPS24;RPL18;RPL5;RPLP0;RPS6;RPL36A-HNRNPH2;RPS15A;RPL29;RPL14;RPL19;RPS28;RPL38
KEGG,Ribosome,-0.6634441000671597,-2.8161010556497876,0.0,0.0,RPS4Y1;RPS19;RPL18A;RPS12;RPL23;RPLP1;RPL28;RPS26;RPS10-NUDT3;RPSA;RPL27A;RPL13;RPL21;RPS11;RPS14;RPS5;RPL17;RPL10;MRPL35;RPS13;RPL41;RPS10;RPS17;RPL6;RPL8;RPL4;RPL36A;RPS20;RPL35;RPL3;RPL35A;RPL39;RPL13A;RPS29;RPS25;RPS3A;RPL10A;RPL15;RPL7;RPL32;RPS7;RPS2;RPL24;RPL34;RPL37;RPS27A;RPL37A;RPL12;RPS16;RPS21;RPL30;RPL26;RPL23A;RPS8;RPS23;RPL27;UBA52;RPS18;RPL36;RPLP2;RPS27;RPS24;RPL18;RPL5;RPLP0;RPS6;RPL36A-HNRNPH2;RPS15A;RPL29;RPL14;RPL19;RPS28;RPL38;MRPL16;MRPL20;RPL22L1;RPL31;RPL7A;MRPL2
Reactome,Collagen Chain Trimerization R-HSA-8948216,-0.7533622963501012,-2.3211814651765366,0.0,0.0,COL1A1;COL3A1;COL1A2;COL4A1;COL5A2;COL11A1;COL4A2;COL12A1;COL5A1;COL27A1;COL24A1;COL8A1;COL6A3;COL16A1;COL18A1;COL15A1;COL7A1;COL6A2;COL6A6
Reactome,SARS-CoV-2 Modulates Host Translation Machinery R-HSA-9754678,-0.6607280591910297,-2.3241700382385306,0.0,0.0,RPS4Y1;RPS19;RPS12;RPSA;RPS11;RPS14;RPS5;RPS13;RPS10;RPS17;RPS20;RPS29;RPS25;RPS3A;RPS7;RPS2;RPS27A;RPS16;RPS21;RPS8;RPS23;RPS27;RPS24;RPS6;RPS15A;RPS28;SNRPE
Reactome,Signaling By ROBO Receptors R-HSA-376176,-0.5413509785018125,-2.420459139878832,0.0,0.0,RPS4Y1;RPS19;RPL18A;RPS12;RPL23;RPLP1;RPL28;RPSA;RPL27A;RPL21;RPS11;RPS14;RPS5;NCK2;RPS13;RPL41;RPS10;ELOB;RPS17;RPL6;RPL8;RPL4;RPL36A;RPS20;RPL35;PFN2;RPL3;RPL35A;RPL39;ABL1;RPL13A;RPS29;RPS25;RPS3A;CXCL12;PKN2;RBX1;RPL10A;SLIT2;RPL15;RPL7;RPL32;RPS7;LDB2;RPS2;PRKACB;RPL34;RPL37;RPS27A;RPL37A;RPL12;RPS16;RPS21;RPL30;RPL26;RPL23A;RPS8;RPS23;RPL27;UBB;UBA52;RPL36;RPLP2;RPS27;RPS24;RPL18;RPL5;ZSWIM8;RPLP0;RPS6;PSME4;RPS15A;PSMB6;RPL29;RPL14;RPL19;RPS28;PSMB3;RPL38;PSMD5;ROBO1;RPL22L1;RPL31;RPL7A;SRGAP1;NRP1;PSMB4;RPS15;RPL11;CLASP1;ARHGEF7;RPL22
Reactome,Influenza Infection R-HSA-168255,-0.5600474246207288,-2.445052898627994,0.0,0.0,RPS4Y1;RPS19;RPL18A;HSPA1A;RPS12;RPL23;RPLP1;RPL28;RPSA;RPL27A;RPL21;RPS11;RPS14;RPS5;RPS13;RPL41;RPS10;RPS17;RPL6;RPL8;RPL4;RPL36A;RPS20;RPL35;RPL3;RPL35A;RPL39;RPL13A;RPS29;RPS25;RPS3A;RPL10A;RPL15;RPL7;RPL32;RPS7;RPS2;RPL34;RPL37;RPS27A;RPL37A;RPL12;RPS16;RPS21;RPL30;RPL26;RPL23A;RPS8;POLR2I;RPS23;RPL27;UBA52;RPL36;RPLP2;RPS27;RPS24;RPL18;RPL5;RPLP0;RPS6;RPS15A;RPL29;RPL14;RPL19;RPS28;RPL38;POLR2A
Reactome,Regulation Of Expression Of SLITs And ROBOs R-HSA-9010553,-0.5775939205877337,-2.5151713712257746,0.0,0.0,RPS4Y1;RPS19;RPL18A;RPS12;RPL23;RPLP1;RPL28;RPSA;RPL27A;RPL21;RPS11;RPS14;RPS5;RPS13;RPL41;RPS10;ELOB;RPS17;RPL6;RPL8;RPL4;RPL36A;RPS20;RPL35;RPL3;RPL35A;RPL39;RPL13A;RPS29;RPS25;RPS3A;RBX1;RPL10A;SLIT2;RPL15;RPL7;RPL32;RPS7;LDB2;RPS2;RPL34;RPL37;RPS27A;RPL37A;RPL12;RPS16;RPS21;RPL30;RPL26;RPL23A;RPS8;RPS23;RPL27;UBB;UBA52;RPL36;RPLP2;RPS27;RPS24;RPL18;RPL5;ZSWIM8;RPLP0;RPS6;PSME4;RPS15A;PSMB6;RPL29;RPL14;RPL19;RPS28;PSMB3;RPL38;PSMD5;ROBO1;RPL22L1;RPL31;RPL7A
Reactome,Influenza Viral RNA Transcription And Replication R-HSA-168273,-0.6022227271818271,-2.568431635971122,0.0,0.0,RPS4Y1;RPS19;RPL18A;RPS12;RPL23;RPLP1;RPL28;RPSA;RPL27A;RPL21;RPS11;RPS14;RPS5;RPS13;RPL41;RPS10;RPS17;RPL6;RPL8;RPL4;RPL36A;RPS20;RPL35;RPL3;RPL35A;RPL39;RPL13A;RPS29;RPS25;RPS3A;RPL10A;RPL15;RPL7;RPL32;RPS7;RPS2;RPL34;RPL37;RPS27A;RPL37A;RPL12;RPS16;RPS21;RPL30;RPL26;RPL23A;RPS8;POLR2I;RPS23;RPL27;UBA52;RPL36;RPLP2;RPS27;RPS24;RPL18;RPL5;RPLP0;RPS6;RPS15A;RPL29;RPL14;RPL19;RPS28;RPL38;POLR2A
Reactome,Cellular Response To Starvation R-HSA-9711097,-0.6005450968497899,-2.588762008277681,0.0,0.0,RPS4Y1;RPS19;RPL18A;RPS12;RPL23;RPLP1;RPL28;RPSA;RPL27A;SH3BP4;SLC38A9;RPL21;RPS11;RPS14;RPS5;RPS13;RPL41;RPS10;RPS17;RPL6;RPL8;RPL4;RPL36A;RPS20;RPL35;RPL3;RPL35A;RPL39;RPL13A;RPS29;RPS25;RPS3A;SESN2;RPL10A;ATP6V0D2;RPL15;RPL7;RPL32;RPS7;RPS2;RPL34;RPL37;RPS27A;RPL37A;RPL12;RPS16;RPS21;RPL30;RPL26;RPL23A;RPS8;RPS23;RPL27;UBA52;RPL36;RPLP2;RPS27;RPS24;RPL18;RPL5;RPLP0;RPS6;RPS15A;RPL29;RPL14;RPL19;RPS28;ASNS;RPL38;WDR59;RPL22L1;RPL31;RPL7A;ATP6V0E1;NPRL2;CASTOR2;RPS15;RPL11;LAMTOR1;RPL22;ATP6V1E2;MLST8;RPL9
Reactome,Cap-dependent Translation Initiation R-HSA-72737,-0.6448884850877961,-2.6832031997198524,0.0,0.0,RPS4Y1;RPS19;RPL18A;RPS12;RPL23;RPLP1;RPL28;RPSA;RPL27A;RPL21;RPS11;RPS14;RPS5;RPS13;RPL41;RPS10;RPS17;RPL6;RPL8;RPL4;RPL36A;RPS20;RPL35;EIF3K;RPL3;RPL35A;RPL39;EIF3L;EIF2B2;RPL13A;RPS29;RPS25;RPS3A;RPL10A;RPL15;RPL7;RPL32;RPS7;RPS2;RPL34;RPL37;RPS27A;RPL37A;RPL12;RPS16;RPS21;RPL30;RPL26;RPL23A;RPS8;RPS23;RPL27;UBA52;RPL36;RPLP2;RPS27;RPS24;RPL18;RPL5;RPLP0;RPS6;EIF3F;RPS15A;RPL29;RPL14;EIF3E;RPL19;RPS28;RPL38
Reactome,GTP Hydrolysis And Joining Of 60S Ribosomal Subunit R-HSA-72706,-0.659451041545659,-2.7121505225658606,0.0,0.0,RPS4Y1;RPS19;RPL18A;RPS12;RPL23;RPLP1;RPL28;RPSA;RPL27A;RPL21;RPS11;RPS14;RPS5;RPS13;RPL41;RPS10;RPS17;RPL6;RPL8;RPL4;RPL36A;RPS20;RPL35;EIF3K;RPL3;RPL35A;RPL39;EIF3L;RPL13A;RPS29;RPS25;RPS3A;RPL10A;RPL15;RPL7;RPL32;RPS7;RPS2;RPL34;RPL37;RPS27A;RPL37A;RPL12;RPS16;RPS21;RPL30;RPL26;RPL23A;RPS8;RPS23;RPL27;UBA52;RPL36;RPLP2;RPS27;RPS24;RPL18;RPL5;RPLP0;RPS6;EIF3F;RPS15A;RPL29;RPL14;EIF3E;RPL19;RPS28;RPL38
Reactome,Nonsense Mediated Decay (NMD) Enhanced By Exon Junction Complex (EJC) R-HSA-975957,-0.6590267964498134,-2.7437966127093616,0.0,0.0,RPS4Y1;RPS19;RPL18A;RPS12;RPL23;RPLP1;RPL28;RPSA;RPL27A;RPL21;RPS11;RPS14;RPS5;RPS13;RPL41;RPS10;RPS17;RPL6;RPL8;RPL4;RPL36A;RPS20;RPL35;RPL3;RPL35A;RPL39;RPL13A;RPS29;RPS25;RPS3A;RPL10A;RPL15;RPL7;RPL32;RPS7;RPS2;RPL34;RPL37;RPS27A;RPL37A;RPL12;RPS16;RPS21;RPL30;RPL26;RPL23A;RPS8;RPS23;RPL27;UBA52;RPL36;RPLP2;RPS27;RPS24;RPL18;RPL5;RPLP0;RPS6;RPS15A;RPL29;RPL14;RPL19;RPS28;RPL38
Reactome,Selenoamino Acid Metabolism R-HSA-2408522,-0.6741199158423223,-2.748413001592481,0.0,0.0,RPS4Y1;RPS19;RPL18A;RPS12;RPL23;RPLP1;RPL28;RPSA;RPL27A;RPL21;RPS11;RPS14;RPS5;RPS13;RPL41;RPS10;RPS17;RPL6;RPL8;RPL4;RPL36A;RPS20;RPL35;RPL3;RPL35A;RPL39;RPL13A;RPS29;RPS25;RPS3A;RPL10A;NNMT;RPL15;RPL7;RPL32;RPS7;RPS2;RPL34;RPL37;RPS27A;RPL37A;RPL12;RPS16;RPS21;RPL30;RPL26;RPL23A;RPS8;RPS23;RPL27;UBA52;RPL36;RPLP2;RPS27;RPS24;RPL18;RPL5;RPLP0;RPS6;RPS15A;RPL29;RPL14;RPL19;RPS28;PAPSS2;RPL38
Reactome,L13a-mediated Translational Silencing Of Ceruloplasmin Expression R-HSA-156827,-0.6710171433872619,-2.7609079519056547,0.0,0.0,RPS4Y1;RPS19;RPL18A;RPS12;RPL23;RPLP1;RPL28;RPSA;RPL27A;RPL21;RPS11;RPS14;RPS5;RPS13;RPL41;RPS10;RPS17;RPL6;RPL8;RPL4;RPL36A;RPS20;RPL35;EIF3K;RPL3;RPL35A;RPL39;EIF3L;RPL13A;RPS29;RPS25;RPS3A;RPL10A;RPL15;RPL7;RPL32;RPS7;RPS2;RPL34;RPL37;RPS27A;RPL37A;RPL12;RPS16;RPS21;RPL30;RPL26;RPL23A;RPS8;RPS23;RPL27;UBA52;RPL36;RPLP2;RPS27;RPS24;RPL18;RPL5;RPLP0;RPS6;EIF3F;RPS15A;RPL29;RPL14;EIF3E;RPL19;RPS28;RPL38
Reactome,Response Of EIF2AK4 (GCN2) To Amino Acid Deficiency R-HSA-9633012,-0.6875558729452156,-2.7668286884770787,0.0,0.0,RPS4Y1;RPS19;RPL18A;RPS12;RPL23;RPLP1;RPL28;RPSA;RPL27A;RPL21;RPS11;RPS14;RPS5;RPS13;RPL41;RPS10;RPS17;RPL6;RPL8;RPL4;RPL36A;RPS20;RPL35;RPL3;RPL35A;RPL39;RPL13A;RPS29;RPS25;RPS3A;RPL10A;RPL15;RPL7;RPL32;RPS7;RPS2;RPL34;RPL37;RPS27A;RPL37A;RPL12;RPS16;RPS21;RPL30;RPL26;RPL23A;RPS8;RPS23;RPL27;UBA52;RPL36;RPLP2;RPS27;RPS24;RPL18;RPL5;RPLP0;RPS6;RPS15A;RPL29;RPL14;RPL19;RPS28;ASNS;RPL38
Reactome,Formation Of A Pool Of Free 40S Subunits R-HSA-72689,-0.7087600086666336,-2.8578791431008908,0.0,0.0,RPS4Y1;RPS19;RPL18A;RPS12;RPL23;RPLP1;RPL28;RPSA;RPL27A;RPL21;RPS11;RPS14;RPS5;RPS13;RPL41;RPS10;RPS17;RPL6;RPL8;RPL4;RPL36A;RPS20;RPL35;EIF3K;RPL3;RPL35A;RPL39;EIF3L;RPL13A;RPS29;RPS25;RPS3A;RPL10A;RPL15;RPL7;RPL32;RPS7;RPS2;RPL34;RPL37;RPS27A;RPL37A;RPL12;RPS16;RPS21;RPL30;RPL26;RPL23A;RPS8;RPS23;RPL27;UBA52;RPL36;RPLP2;RPS27;RPS24;RPL18;RPL5;RPLP0;RPS6;EIF3F;RPS15A;RPL29;RPL14;EIF3E;RPL19;RPS28;RPL38
Reactome,SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339,-0.6936932978241449,-2.8691356863827826,0.0,0.0,RPS4Y1;RPS19;RPL18A;RPS12;RPL23;RPLP1;RPL28;RPSA;RPL27A;RPL21;RPS11;RPS14;RPS5;RPS13;RPL41;RPS10;RPS17;RPL6;RPL8;RPL4;RPL36A;RPS20;RPL35;RPL3;RPL35A;RPL39;RPL13A;RPS29;RPS25;RPS3A;SSR4;RPL10A;RPL15;RPL7;RPL32;RPS7;RPS2;RPL34;RPL37;RPS27A;RPL37A;RPL12;RPS16;RPS21;RPL30;RPL26;RPL23A;RPS8;RPS23;RPL27;UBA52;RPL36;RPLP2;RPS27;RPS24;RPL18;RPL5;RPLP0;RPS6;RPS15A;RPL29;RPL14;SRP14;RPL19;SRPRB;RPS28;RPL38;SRP72;SEC61G;RPL22L1;RPL31;RPL7A
Reactome,Nonsense Mediated Decay (NMD) Independent Of Exon Junction Complex (EJC) R-HSA-975956,-0.7356462356717284,-2.949419715481987,0.0,0.0,RPS4Y1;RPS19;RPL18A;RPS12;RPL23;RPLP1;RPL28;RPSA;RPL27A;RPL21;RPS11;RPS14;RPS5;RPS13;RPL41;RPS10;RPS17;RPL6;RPL8;RPL4;RPL36A;RPS20;RPL35;RPL3;RPL35A;RPL39;RPL13A;RPS29;RPS25;RPS3A;RPL10A;RPL15;RPL7;RPL32;RPS7;RPS2;RPL34;RPL37;RPS27A;RPL37A;RPL12;RPS16;RPS21;RPL30;RPL26;RPL23A;RPS8;RPS23;RPL27;UBA52;RPL36;RPLP2;RPS27;RPS24;RPL18;RPL5;RPLP0;RPS6;RPS15A;RPL29;RPL14;RPL19;RPS28;RPL38;RPL22L1;RPL31;RPL7A
Reactome,Viral mRNA Translation R-HSA-192823,-0.7392280774587393,-2.9574693659870626,0.0,0.0,RPS4Y1;RPS19;RPL18A;RPS12;RPL23;RPLP1;RPL28;RPSA;RPL27A;RPL21;RPS11;RPS14;RPS5;RPS13;RPL41;RPS10;RPS17;RPL6;RPL8;RPL4;RPL36A;RPS20;RPL35;RPL3;RPL35A;RPL39;RPL13A;RPS29;RPS25;RPS3A;RPL10A;RPL15;RPL7;RPL32;RPS7;RPS2;RPL34;RPL37;RPS27A;RPL37A;RPL12;RPS16;RPS21;RPL30;RPL26;RPL23A;RPS8;RPS23;RPL27;UBA52;RPL36;RPLP2;RPS27;RPS24;RPL18;RPL5;RPLP0;RPS6;RPS15A;RPL29;RPL14;RPL19;RPS28;RPL38;RPL22L1;RPL31;RPL7A
Reactome,Selenocysteine Synthesis R-HSA-2408557,-0.7489173539559307,-2.969937887574584,0.0,0.0,RPS4Y1;RPS19;RPL18A;RPS12;RPL23;RPLP1;RPL28;RPSA;RPL27A;RPL21;RPS11;RPS14;RPS5;RPS13;RPL41;RPS10;RPS17;RPL6;RPL8;RPL4;RPL36A;RPS20;RPL35;RPL3;RPL35A;RPL39;RPL13A;RPS29;RPS25;RPS3A;RPL10A;RPL15;RPL7;RPL32;RPS7;RPS2;RPL34;RPL37;RPS27A;RPL37A;RPL12;RPS16;RPS21;RPL30;RPL26;RPL23A;RPS8;RPS23;RPL27;UBA52;RPL36;RPLP2;RPS27;RPS24;RPL18;RPL5;RPLP0;RPS6;RPS15A;RPL29;RPL14;RPL19;RPS28;RPL38;RPL22L1;RPL31;RPL7A
Reactome,Eukaryotic Translation Termination R-HSA-72764,-0.7470506387073598,-2.9740843089291165,0.0,0.0,RPS4Y1;RPS19;RPL18A;RPS12;RPL23;RPLP1;RPL28;RPSA;RPL27A;RPL21;RPS11;RPS14;RPS5;RPS13;RPL41;RPS10;RPS17;RPL6;RPL8;RPL4;RPL36A;RPS20;RPL35;RPL3;RPL35A;RPL39;RPL13A;RPS29;RPS25;RPS3A;RPL10A;RPL15;RPL7;RPL32;RPS7;RPS2;RPL34;RPL37;RPS27A;RPL37A;RPL12;RPS16;RPS21;RPL30;RPL26;RPL23A;RPS8;RPS23;RPL27;UBA52;RPL36;RPLP2;RPS27;RPS24;RPL18;RPL5;RPLP0;RPS6;RPS15A;RPL29;RPL14;RPL19;RPS28;RPL38;TRMT112;RPL22L1;RPL31;RPL7A
GO-BP,Peptide Biosynthetic Process (GO:0043043),-0.5973661760871141,-2.5658969577713213,0.0,0.0,RPS4Y1;RPS19;RPL18A;RPLP1;RPL28;RPS26;RPSA;RPL27A;RPL13;RPL21;RPS11;RPS14;RPS5;RPL17;RPL10;MRPL35;RPS13;RPL41;RPS10;RPS17;RPL6;RPL8;RPL4;RPS20;RPL35;RPL3;RPL35A;RPL39;PCSK1;RPL13A;RPS29;RPS25;RPS3A;EEF1A1;RPL10A;RPL15;RPL7;RPL32;RPS7;RPS2;RPL24;RPL34;RPL37;RPS27A;RPL37A;RPL12;RPS16;RPS21;RPL30;RPL26;RPL23A;RPS8;RPS23;RPL27;RPS18;RPL36;RPLP2;RPS27;RPS24;RPL18;RPL5;RPLP0;RPS6;RPS15A;RPL29;RPL14;RPL19;RPS28;RPL38
GO-BP,Cytoplasmic Translation (GO:0002181),-0.7396059691144798,-2.998020961741106,0.0,0.0,RPS19;RPL18A;RACK1;RPLP1;RPL28;RPS26;RPSA;RPL27A;RPL13;RPL21;RPS11;RPS14;RPS5;RPL17;RPL10;RPS13;RPL41;RPS10;RPS17;RPL6;RPL8;RPL4;RPS20;RPL35;RPL3;RPL35A;RPL39;RPL13A;RPS29;RPS25;RPS3A;RPL10A;RPL15;RPL7;RPL32;RPS7;RPS2;RPL24;RPL34;RPL37;RPS27A;RPL37A;RPL12;RPS16;RPS21;RPL30;RPL26;RPL23A;RPS8;RPS23;RPL27;UBA52;RPS18;RPL36;RPLP2;RPS27;RPS24;RPL18;RPL5;RPLP0;RPS6;RPS15A;RPL29;RPL14;RPL19;RPS28;RPL38;RPL22L1;RPL31;RPL7A
Reactome,Eukaryotic Translation Elongation R-HSA-156842,-0.7593033384439921,-3.0227284796415077,0.0,0.0,RPS4Y1;RPS19;RPL18A;RPS12;RPL23;RPLP1;RPL28;RPSA;RPL27A;RPL21;RPS11;RPS14;RPS5;RPS13;RPL41;RPS10;RPS17;RPL6;RPL8;RPL4;RPL36A;RPS20;RPL35;RPL3;RPL35A;RPL39;RPL13A;RPS29;RPS25;RPS3A;EEF1A1;RPL10A;EEF1G;RPL15;RPL7;RPL32;RPS7;RPS2;RPL34;RPL37;RPS27A;RPL37A;RPL12;RPS16;RPS21;RPL30;RPL26;RPL23A;RPS8;RPS23;RPL27;UBA52;RPL36;RPLP2;RPS27;RPS24;RPL18;RPL5;RPLP0;RPS6;RPS15A;RPL29;RPL14;RPL19;RPS28;RPL38;RPL22L1;RPL31;RPL7A;EEF2;RPS15;RPL11;RPL22;RPL9;RPS3;EEF1D
Hallmark,Inflammatory Response,0.4564332087370388,2.1447036737044125,0.0,0.0,CLEC5A;PTPRE;CCL2;RGS16;CYBB;KLF6;TNFRSF1B;HIF1A;PTGER2;IL1B;CSF1;AQP9;CCRL2;TLR3;HRH1;CCL22;LDLR;CSF3R;IRAK2;GPR183;RNF144B;LCP2;CD55;P2RY2;CCL24;NLRP3;OLR1;GCH1;TLR2;NMI;NPFFR2;ICAM4;IRF1;ACVR2A;TAPBP;RELA;RIPK2;ATP2B1;PTGIR;LIF;CXCL8;SLC7A2;SELENOS;CD48;HBEGF;P2RX7;SLC31A1;NFKBIA;FFAR2;TNFRSF9;NMUR1;ATP2A2;BEST1;FPR1;ICAM1
Hallmark,E2F Targets,0.4384067770711583,2.1190986989761984,0.0,0.0,DEK;RBBP7;PRPS1;HMGB2;PRDX4;KIF18B;LBR;GINS4;XPO1;MTHFD2;MCM3;DONSON;ASF1B;HMGA1;SMC3;TFRC;SMC1A;POLD2;RRM2;DUT;LMNB1;PLK4;LYAR;TMPO;CTCF;TRIP13;TCF19;POLE;SRSF1;LIG1;NCAPD2;TRA2B;NUP107;DSCC1;SHMT1;RANBP1;ORC6;PSIP1;CENPM;MCM7;POLE4;XRCC6;POLD1;RAD50;MCM2;MCM4;TP53;PNN;CDKN2C;HELLS;MYBL2;CDCA8;TUBB;GINS3;RAD21;RFC3;ING3;EZH2;AK2;DIAPH3;CHEK2;TIPIN;CDKN2A;CTPS1;BRMS1L;WEE1;CDKN3;SMC4;MRE11;SSRP1;MAD2L1;ATAD2;HNRNPD;DNMT1;TIMELESS;SPC24;GSPT1;CDC20;CHEK1;RPA2;MCM5;GINS1;MXD3;MKI67;IPO7;MCM6;SNRPB;PRKDC;HMMR;ILF3;NUP205;CDC25A;AURKA;PCNA;EXOSC8;HUS1;CSE1L;RFC1;CNOT9;EED;NOP56;NBN;SPAG5;RFC2;CENPE;BUB1B;H2AX;SMC6;SLBP
Hallmark,mTORC1 Signaling,0.4703764830352749,2.29618627609544,0.0,0.0,FADS1;INSIG1;NFIL3;BHLHE40;CYP51A1;SQSTM1;RPN1;FADS2;HPRT1;PSPH;ACTR3;G6PD;M6PR;PSMD13;DHCR24;PPP1R15A;RRP9;ACLY;HMGCR;PGK1;HMGCS1;SKAP2;LDLR;SLC7A5;GSR;CYB5B;STARD4;LDHA;MTHFD2;SQLE;PNO1;TFRC;EIF2S2;EBP;PSMD14;RRM2;PDAP1;NFKBIB;ALDOA;TXNRD1;RDH11;RIT1;HSPA9;GPI;SC5D;GLRX;ENO1;ERO1A;PITPNB;SORD;SDF2L1;ACSL3;GBE1;DHFR;PPA1;DHCR7;MAP2K3;SCD;ATP2A2;CALR;HK2;LTA4H;CACYBP;MCM2;GLA;HSPD1;HSPA4;MCM4;CANX;TBK1;IDI1;PGM1;BCAT1;TMEM97;NAMPT;IFI30;POLR3G;VLDLR;DAPP1;FDXR;USO1;IDH1;HSP90B1;CXCR4;CCT6A;UFM1;PSAT1;PNP;ELOVL5;PSMA4;NUFIP1;CTH;WARS1;EEF1E1
Hallmark,Cholesterol Homeostasis,0.51446174034169,2.1524994236428863,0.0,0.0,NFIL3;CYP51A1;ALCAM;PPARG;FDPS;FADS2;PDK3;MVD;FABP5;HSD17B7;HMGCR;HMGCS1;LDLR;LSS;STARD4;SQLE;ATF3;PCYT2;CTNNB1;FDFT1;EBP;ACSS2;ACAT2;SC5D;ACTG1
