TF,activity,pvalue,FDR,direction
SREBF1,5.746899842906869,5.9334406614652835e-06,0.003791468582676316,activated_in_AD
SREBF2,5.203690983563155,6.333362398436293e-05,0.020235092863003956,activated_in_AD
NFKB,3.88769993680956,0.011039656586945057,0.9961943348185927,activated_in_AD
IRF1,3.8668691527524857,0.011039656586945057,0.9961943348185927,activated_in_AD
ATF1,3.845344353998938,0.011039656586945057,0.9961943348185927,activated_in_AD
CREB1,3.6863294428060667,0.018243568018078804,0.9961943348185927,activated_in_AD
PPARD,3.458416368474155,0.034827686846256256,0.9961943348185927,activated_in_AD
BMAL1,3.415122268564768,0.034911949187517166,0.9961943348185927,activated_in_AD
NR1H4,3.287847672094091,0.040407825261354446,0.9961943348185927,activated_in_AD
NR5A2,3.2515235861789322,0.040407825261354446,0.9961943348185927,activated_in_AD
ZGPAT,3.2486540646265527,0.040407825261354446,0.9961943348185927,activated_in_AD
NFKB1,3.2434146839245606,0.040407825261354446,0.9961943348185927,activated_in_AD
REL,3.2071639262003746,0.040407825261354446,0.9961943348185927,activated_in_AD
IRF7,3.196479337213371,0.040407825261354446,0.9961943348185927,activated_in_AD
ELF1,3.195444673630664,0.040407825261354446,0.9961943348185927,activated_in_AD
ARID5B,3.1842814492531177,0.040407825261354446,0.9961943348185927,activated_in_AD
MTF1,3.127413165517801,0.04705332592129707,0.9961943348185927,activated_in_AD
RUNX1,3.0291154188700196,0.06039382889866829,0.9961943348185927,activated_in_AD
JUND,3.0093904632635806,0.061946406960487366,0.9961943348185927,activated_in_AD
KLF10,2.998910769615098,0.061946406960487366,0.9961943348185927,activated_in_AD
PBX1,2.9726052776337735,0.06229765713214874,0.9961943348185927,activated_in_AD
VDR,2.9666954412371167,0.06229765713214874,0.9961943348185927,activated_in_AD
MITF,2.9551624104462886,0.06229765713214874,0.9961943348185927,activated_in_AD
CEBPG,2.954514705816242,0.06229765713214874,0.9961943348185927,activated_in_AD
SPI1,2.9467075192517864,0.06229765713214874,0.9961943348185927,activated_in_AD
KLF15,2.9328981217870442,0.06321918219327927,0.9961943348185927,activated_in_AD
POU2F2,2.902874143964665,0.06665186583995819,0.9961943348185927,activated_in_AD
PAX5,2.8844456480010163,0.06762231886386871,0.9961943348185927,activated_in_AD
MED1,2.876974755510242,0.06762231886386871,0.9961943348185927,activated_in_AD
E2F4,2.7825633137636885,0.08848695456981659,0.9961943348185927,activated_in_AD
ATF4,2.751705389808477,0.09483526647090912,0.9961943348185927,activated_in_AD
MBD1,2.7360681271114133,0.09497726708650589,0.9961943348185927,activated_in_AD
HOXB9,2.7351856245788233,0.09497726708650589,0.9961943348185927,activated_in_AD
HOXC6,2.717921690725765,0.0977478176355362,0.9961943348185927,activated_in_AD
RELA,2.709186490663461,0.09807687252759933,0.9961943348185927,activated_in_AD
KAT5,2.675977279481636,0.10593411326408386,0.9961943348185927,activated_in_AD
DLX3,2.6509505558318374,0.10925421118736267,0.9961943348185927,activated_in_AD
CEBPA,2.6255328460887797,0.11530071496963501,0.9961943348185927,activated_in_AD
TFAP4,2.5273369704328097,0.14414358139038086,0.9961943348185927,activated_in_AD
ZNF354C,2.5195552473870384,0.14453378319740295,0.9961943348185927,activated_in_AD
FOXM1,2.512265809185813,0.14476867020130157,0.9961943348185927,activated_in_AD
ELK1,2.5048870667468135,0.1450851857662201,0.9961943348185927,activated_in_AD
ZNF202,2.4686155789700894,0.15662714838981628,0.9961943348185927,activated_in_AD
TLX1,2.464669107049746,0.15662714838981628,0.9961943348185927,activated_in_AD
NFKBIB,2.444406013214934,0.15848182141780853,0.9961943348185927,activated_in_AD
NFYA,2.4426268145063483,0.15848182141780853,0.9961943348185927,activated_in_AD
HSF1,2.441653337340598,0.15848182141780853,0.9961943348185927,activated_in_AD
IRF5,2.398104943427509,0.1699906289577484,0.9961943348185927,activated_in_AD
CUX1,2.3788241378270363,0.17416822910308838,0.9961943348185927,activated_in_AD
CLOCK,2.3775039489404564,0.17416822910308838,0.9961943348185927,activated_in_AD
JUN,2.348468094623914,0.17510610818862915,0.9961943348185927,activated_in_AD
NRF1,2.342243047251281,0.17510610818862915,0.9961943348185927,activated_in_AD
ZEB1,2.33906088574845,0.17510610818862915,0.9961943348185927,activated_in_AD
CREBBP,2.3290866334980382,0.17510610818862915,0.9961943348185927,activated_in_AD
TP63,2.3252837820884396,0.17510610818862915,0.9961943348185927,activated_in_AD
KAT6B,2.324776778924388,0.17510610818862915,0.9961943348185927,activated_in_AD
E2F3,2.319453654700332,0.17510610818862915,0.9961943348185927,activated_in_AD
HR,2.316380795055145,0.17510610818862915,0.9961943348185927,activated_in_AD
SMAD7,2.3075246235718434,0.17652514576911926,0.9961943348185927,activated_in_AD
FOSL2,2.3034004982213836,0.17652514576911926,0.9961943348185927,activated_in_AD
LHX2,2.2775338472907087,0.18653808534145355,0.9961943348185927,activated_in_AD
HOXA13,2.265353716791061,0.18776002526283264,0.9961943348185927,activated_in_AD
E2F1,2.2085049110598227,0.20960593223571777,0.9961943348185927,activated_in_AD
PPARA,2.1951328557404803,0.21430087089538574,0.9961943348185927,activated_in_AD
KAT6A,2.1844508154064513,0.21507738530635834,0.9961943348185927,activated_in_AD
SOX17,2.1251824257951415,0.23420114815235138,0.9961943348185927,activated_in_AD
FOXQ1,2.1192725766142604,0.23420114815235138,0.9961943348185927,activated_in_AD
STAT5A,2.1019378658885177,0.24184904992580414,0.9961943348185927,activated_in_AD
CEBPE,2.089759693856022,0.24657349288463593,0.9961943348185927,activated_in_AD
FOXC2,2.07640338246809,0.2521088123321533,0.9961943348185927,activated_in_AD
WT1,2.031163390986549,0.27275583148002625,0.9961943348185927,activated_in_AD
EHF,2.002040564187362,0.28517067432403564,0.9961943348185927,activated_in_AD
NANOG,2.000000279539822,0.28517067432403564,0.9961943348185927,activated_in_AD
SP1,1.9942103464105645,0.2858469784259796,0.9961943348185927,activated_in_AD
STAT3,1.9908013613084794,0.2858469784259796,0.9961943348185927,activated_in_AD
MYC,1.967603128039142,0.2990162670612335,0.9961943348185927,activated_in_AD
GTF2I,1.9187947457914758,0.3143872320652008,0.9961943348185927,activated_in_AD
NONO,1.9126957489071759,0.31558749079704285,0.9961943348185927,activated_in_AD
SMAD5,1.8988868797340053,0.31784114241600037,0.9961943348185927,activated_in_AD
CEBPB,1.8804066403504665,0.32249075174331665,0.9961943348185927,activated_in_AD
PRDM2,1.873171076659285,0.32249075174331665,0.9961943348185927,activated_in_AD
NFIA,1.8668709501646787,0.3244299292564392,0.9961943348185927,activated_in_AD
E2F2,1.8586823963810928,0.32778042554855347,0.9961943348185927,activated_in_AD
NR5A1,1.8431905082031665,0.334674596786499,0.9961943348185927,activated_in_AD
NR1H3,1.8421955997631763,0.334674596786499,0.9961943348185927,activated_in_AD
PARK7,1.8202069540661607,0.3413804769515991,0.9961943348185927,activated_in_AD
ONECUT1,1.775837507772163,0.37066730856895447,0.9961943348185927,activated_in_AD
TBX15,1.7732430294745198,0.37066730856895447,0.9961943348185927,activated_in_AD
IRF6,1.7699818923320432,0.37066730856895447,0.9961943348185927,activated_in_AD
NEUROD1,1.7676030021781133,0.37066730856895447,0.9961943348185927,activated_in_AD
PAX8,1.7571314052201181,0.3752216398715973,0.9961943348185927,activated_in_AD
HBP1,1.7387815125292703,0.3801400065422058,0.9961943348185927,activated_in_AD
APEX1,1.732960659622729,0.3821379244327545,0.9961943348185927,activated_in_AD
ETV4,1.710510293260244,0.3847139775753021,0.9961943348185927,activated_in_AD
MECOM,1.7067028520948613,0.3847139775753021,0.9961943348185927,activated_in_AD
GATA4,1.7031199305701727,0.3847139775753021,0.9961943348185927,activated_in_AD
AP1,1.701363357986193,0.3847139775753021,0.9961943348185927,activated_in_AD
NFE2L1,1.698791764818954,0.3847139775753021,0.9961943348185927,activated_in_AD
ZNF395,1.6971400454255257,0.3847139775753021,0.9961943348185927,activated_in_AD
TFE3,1.6948773531905252,0.3847139775753021,0.9961943348185927,activated_in_AD
TGIF1,1.6841362630333288,0.3877166509628296,0.9961943348185927,activated_in_AD
DDIT3,1.674011270986209,0.39322102069854736,0.9961943348185927,activated_in_AD
ETV1,1.6479060756804125,0.40851208567619324,0.9961943348185927,activated_in_AD
HIVEP2,1.643175155767603,0.40851208567619324,0.9961943348185927,activated_in_AD
GATA2,1.6245710706682088,0.41479459404945374,0.9961943348185927,activated_in_AD
NKRF,1.6143528807464056,0.41479459404945374,0.9961943348185927,activated_in_AD
ARID4A,1.6117378636756858,0.41479459404945374,0.9961943348185927,activated_in_AD
IRF2,1.6100859912282695,0.41479459404945374,0.9961943348185927,activated_in_AD
ZNF143,1.609395367357868,0.41479459404945374,0.9961943348185927,activated_in_AD
HDAC5,1.6070282154887776,0.41479459404945374,0.9961943348185927,activated_in_AD
NR2E3,1.5964758663276568,0.41479459404945374,0.9961943348185927,activated_in_AD
NR3C1,1.5956049870628997,0.41479459404945374,0.9961943348185927,activated_in_AD
HDGF,1.5939469995431783,0.41479459404945374,0.9961943348185927,activated_in_AD
BMAL2,1.5885584010093623,0.41479459404945374,0.9961943348185927,activated_in_AD
KLF8,1.5880446155150587,0.41479459404945374,0.9961943348185927,activated_in_AD
TCF4,1.5713806507030326,0.4264320731163025,0.9961943348185927,activated_in_AD
GLI2,1.5636229574799398,0.42890045046806335,0.9961943348185927,activated_in_AD
ATF6,1.5615478110297456,0.42890045046806335,0.9961943348185927,activated_in_AD
TCF12,1.5496806291374055,0.42890045046806335,0.9961943348185927,activated_in_AD
TGFB1I1,1.548454542167295,0.42890045046806335,0.9961943348185927,activated_in_AD
ESRRB,1.5430969840708741,0.42890045046806335,0.9961943348185927,activated_in_AD
NEUROD6,1.5356234481659155,0.4329022169113159,0.9961943348185927,activated_in_AD
TBX2,1.5240171433870249,0.44048798084259033,0.9961943348185927,activated_in_AD
FOXA2,1.515301264935341,0.44564926624298096,0.9961943348185927,activated_in_AD
EGR2,1.5031689310208411,0.44970619678497314,0.9961943348185927,activated_in_AD
SNAI2,1.5024213095075976,0.44970619678497314,0.9961943348185927,activated_in_AD
NR2C2,1.4913606191653903,0.457020103931427,0.9961943348185927,activated_in_AD
KLF5,1.4858630829247268,0.45917558670043945,0.9961943348185927,activated_in_AD
E2F5,1.478916017623125,0.45917558670043945,0.9961943348185927,activated_in_AD
USF1,1.4725515955044672,0.45917558670043945,0.9961943348185927,activated_in_AD
MNT,1.4700880553365065,0.45917558670043945,0.9961943348185927,activated_in_AD
MTA1,1.4615897716009862,0.4643299877643585,0.9961943348185927,activated_in_AD
GCM1,1.4574248230110873,0.46540823578834534,0.9961943348185927,activated_in_AD
PPARG,1.4442639385751002,0.4704430103302002,0.9961943348185927,activated_in_AD
ATF2,1.4387730254192717,0.4704430103302002,0.9961943348185927,activated_in_AD
HOXA7,1.436354619632686,0.4704430103302002,0.9961943348185927,activated_in_AD
NPAS2,1.4177221827074757,0.484817773103714,0.9961943348185927,activated_in_AD
NFE2L2,1.4108636414801732,0.4871959984302521,0.9961943348185927,activated_in_AD
ATF5,1.407697396397426,0.4871959984302521,0.9961943348185927,activated_in_AD
OTX2,1.4061090417771969,0.4871959984302521,0.9961943348185927,activated_in_AD
HIF1A,1.4022852541836044,0.4871959984302521,0.9961943348185927,activated_in_AD
YBX1,1.4022157229899912,0.4871959984302521,0.9961943348185927,activated_in_AD
FOXI1,1.3950413545034066,0.491385817527771,0.9961943348185927,activated_in_AD
NR3C2,1.3891070820099154,0.49446919560432434,0.9961943348185927,activated_in_AD
BACH2,1.380393912811968,0.4984622895717621,0.9961943348185927,activated_in_AD
DMTF1,1.379659799973254,0.4984622895717621,0.9961943348185927,activated_in_AD
SSRP1,1.3745928493115562,0.5007880926132202,0.9961943348185927,activated_in_AD
MAX,1.368797751812006,0.50379478931427,0.9961943348185927,activated_in_AD
POU4F2,1.3487325401695114,0.5131698250770569,0.9961943348185927,activated_in_AD
ASCL1,1.3471355166974086,0.5131698250770569,0.9961943348185927,activated_in_AD
CREB3,1.327250747012752,0.5238327980041504,0.9961943348185927,activated_in_AD
PREB,1.3081211843267058,0.539628267288208,0.9961943348185927,activated_in_AD
SF1,1.2944037375447028,0.5440641641616821,0.9961943348185927,activated_in_AD
KLF6,1.293249965733778,0.5440641641616821,0.9961943348185927,activated_in_AD
HEY1,1.2898421843621934,0.5440641641616821,0.9961943348185927,activated_in_AD
MAFK,1.2864570075535957,0.5440641641616821,0.9961943348185927,activated_in_AD
ZGLP1,1.2800960996409145,0.5452799201011658,0.9961943348185927,activated_in_AD
LRRFIP1,1.2723594278559627,0.5483521819114685,0.9961943348185927,activated_in_AD
AIRE,1.2634352364253558,0.5515173077583313,0.9961943348185927,activated_in_AD
PROP1,1.2554906497568725,0.5515173077583313,0.9961943348185927,activated_in_AD
NFIX,1.2539976336601628,0.5515173077583313,0.9961943348185927,activated_in_AD
HINFP,1.2510803347900321,0.5515173077583313,0.9961943348185927,activated_in_AD
IKZF1,1.2476125686100992,0.5515173077583313,0.9961943348185927,activated_in_AD
ZNF76,1.2463501383300113,0.5515173077583313,0.9961943348185927,activated_in_AD
MYBL2,1.2424213764884147,0.5515173077583313,0.9961943348185927,activated_in_AD
ERF,1.2317547623172258,0.5573667883872986,0.9961943348185927,activated_in_AD
DOT1L,1.2262563983226265,0.5603942275047302,0.9961943348185927,activated_in_AD
ARX,1.2183769183693396,0.563575029373169,0.9961943348185927,activated_in_AD
NSD2,1.2182851166047477,0.563575029373169,0.9961943348185927,activated_in_AD
KMT2B,1.212619766767052,0.5667890310287476,0.9961943348185927,activated_in_AD
MAZ,1.2074095640276954,0.5678814053535461,0.9961943348185927,activated_in_AD
ELK4,1.2068577429938512,0.5678814053535461,0.9961943348185927,activated_in_AD
HOPX,1.1801529673121085,0.5878871083259583,0.9961943348185927,activated_in_AD
NCOA3,1.1793417400642106,0.5878871083259583,0.9961943348185927,activated_in_AD
BARX2,1.1694153868459634,0.5885259509086609,0.9961943348185927,activated_in_AD
BRCA1,1.1690463651862992,0.5885259509086609,0.9961943348185927,activated_in_AD
KLF4,1.167208223815309,0.5885259509086609,0.9961943348185927,activated_in_AD
E2F6,1.1592476556601312,0.5912059545516968,0.9961943348185927,activated_in_AD
ESRRA,1.1576441846664478,0.5912059545516968,0.9961943348185927,activated_in_AD
CEBPD,1.1510395785764573,0.5954533815383911,0.9961943348185927,activated_in_AD
ETV2,1.1403063200715466,0.6018876433372498,0.9961943348185927,activated_in_AD
FOXO4,1.1399706623799908,0.6018876433372498,0.9961943348185927,activated_in_AD
OVOL1,1.12599511972546,0.60774165391922,0.9961943348185927,activated_in_AD
ELF3,1.1240007875368951,0.60774165391922,0.9961943348185927,activated_in_AD
RBPJ,1.1158351447971155,0.6108098030090332,0.9961943348185927,activated_in_AD
