Term,R15_AD,R18_AD,R19_CN,R20_CN,R22_CN
Homeostatic,0.4877662542724514,0.5522367541349993,0.538352273607742,0.4775214751951294,0.49210812028586565
DAM / MGnD,0.6059116235200248,0.55717488896335,0.5127265531747549,0.5876510646187808,0.5757187510050052
LDAM (lipid-droplet),0.5313111691012865,0.5372543760957563,0.42323763961557437,0.5371942100404026,0.5246738940642941
Cholesterol / SREBP,0.5219215824630643,0.47131614735013266,0.40771282257351915,0.46475508003020205,0.4168955849739232
Inflammatory / NF-kB,0.30661280829497034,0.24440567916152436,0.18148057857741495,0.2305423636509294,0.20007222292577745
Translation / ribosome,0.729073757589453,0.7129004636935431,0.7403468271663357,0.7416097893019384,0.7376703754954249
Interferon,-0.23628280702063065,-0.06350992965888545,-0.22998910791935845,-0.05780836024904502,-0.25839021069806156
